"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"BETU.PAP",0.683,28.884,0,0,0.076,0.913,3.264
"LARI.LAR",4.029,47.161,0,0.107,2.123,6.68,13.551
"PICE.GLA",3.8,66.231,0,0.082,1.333,4.764,17.124
"PICE.MAR",15.703,114.077,0,2.68,11.779,26.212,43.417
"PINU.BAN",6.1,96.593,0,0.206,2.844,9,22.896
"POPU.BAL",2.056,59.301,0,0,0.089,2.232,11.027
"POPU.TRE",28.805,223.521,0,2.279,10.924,53.054,95.203
"Total",61.177,256.165,7.882,36.069,59.201,85.187,117.455
