"species","meanAGBiomass_TonsPerHa","maxAGBiomass_TonsPerHa","quantile0.05","quantile0.25","quantile0.5","quantile0.75","quantile0.95"
"BETU.PAP",0.661,47.229,0,0,0,0.483,3.665
"LARI.LAR",2.413,51.048,0,0.049,1.049,3.401,9.499
"PICE.GLA",8.106,128.515,0,0.769,4.236,11.909,28.882
"PICE.MAR",14.013,96.291,0.393,6.28,13.104,20.096,31.967
"PINU.BAN",4.538,103.176,0,0.126,2.101,6.089,17.216
"POPU.BAL",1.595,90.856,0,0,0.1,1.515,8.176
"POPU.TRE",25.281,239.998,0.11,2.635,11.031,40.39,89.946
"Total",56.608,306.673,12.454,29.622,50.443,80.05,117.433
